strategy,run,metric,batch,value
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,174,0.053545
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,175,0.052223
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,176,0.081421
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,177,0.057507
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,178,0.05774
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,179,0.059509
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,180,0.045953
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,181,0.05214
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,182,0.057538
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,183,0.056919
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,184,0.064294
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,185,0.060711
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,186,0.068616
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,187,0.065023
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,188,0.052024
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,189,0.053051
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,190,0.046181
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,191,0.055776
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,192,0.058333
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,193,0.055754
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,194,0.05536
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,195,0.051817
